#{"t_start": 1765098203.162179, "env_id": "None"}
r,l,t
-10.539186,128,0.031517
-3.123898,53,0.039852
-9.247138,168,0.064106
-0.153681,246,0.099386
-10.455902,188,0.125857
-33.163183,810,0.245443
-0.939664,133,0.264186
-13.795654,163,0.287119
-5.426431,454,0.785693
-8.523408,33,0.790811
0.876716,28,0.79475
-2.638622,136,0.814804
1.184401,331,0.863286
-3.383086,23,0.866404
-2.242508,251,0.901789
-3.122889,9,0.903035
-5.411972,39,0.908303
6.733466,395,0.965934
-10.879624,258,1.002956
-28.298648,568,1.453863
2.483816,54,1.461671
-0.722281,379,1.515339
-1.739625,25,1.51875
-7.621006,297,1.561636
9.120634,307,1.605533
3.534664,287,1.646105
10.219139,223,1.67774
5.869542,203,2.088432
31.154397,756,2.196716
3.867893,85,2.208623
7.229243,143,2.22877
11.721253,202,2.257759
-2.571058,246,2.293687
-4.878742,337,2.342286
-3.241175,47,2.348902
1.353518,236,2.763216
13.333702,185,2.789973
28.749858,472,2.856923
-1.263167,76,2.867877
-3.091317,50,2.874838
5.178874,323,2.920503
4.962127,104,2.935238
4.142121,91,2.947934
1.957726,242,2.98234
3.894836,235,3.01521
6.608101,135,3.034584
-7.947567,55,3.042362
1.025554,107,3.42284
1.339959,14,3.424861
9.459809,100,3.43945
48.895984,792,3.551643
-1.964302,56,3.559611
-0.249951,148,3.58051
11.497176,202,3.608794
-5.428725,82,3.620319
4.465947,84,3.632032
-1.402255,102,3.646159
7.011265,102,3.660501
10.202888,134,3.679475
35.67382,250,4.080566
17.283803,362,4.132105
16.078366,139,4.152133
28.325889,206,4.181501
5.595809,209,4.211028
1.248616,74,4.221485
27.84363,140,4.241287
-11.37812,59,4.249504
1.237923,35,4.25423
4.097911,46,4.260481
2.027212,24,4.26371
59.43173,425,4.32415
6.429778,82,4.335954
5.905648,96,4.349466
10.606709,49,4.356389
14.856628,176,4.769978
45.92951,540,4.846725
13.829964,157,4.869354
9.100879,136,4.88884
1.986551,26,4.892511
22.921617,154,4.91459
60.091065,403,5.036229
12.200527,217,5.082441
-0.007715,38,5.088195
5.518683,99,5.103071
7.888109,181,5.51939
-1.383103,83,5.531426
31.838444,267,5.570132
11.701632,115,5.586627
12.152295,159,5.609589
47.077839,486,5.678215
-1.866678,14,5.680151
49.678371,353,5.730567
-0.17881,15,5.732619
-2.510788,12,5.734222
-3.843098,20,5.73686
32.286181,322,5.781804
6.165403,89,5.794063
33.39575,333,6.208301
20.010014,213,6.238517
35.183316,198,6.26676
37.92232,277,6.306496
9.873989,106,6.321417
27.918633,253,6.35731
1.39863,76,6.367917
7.481437,73,6.378244
11.724594,75,6.388799
5.445394,66,6.398155
20.773948,275,6.436702
11.307399,143,6.456765
3.618101,71,6.844264
117.498703,762,6.952659
0.026063,45,6.95896
12.37525,100,6.973156
37.426357,422,7.034464
23.898681,240,7.068374
29.960358,270,7.106883
45.465926,305,7.524934
65.504238,364,7.57701
0.458917,15,7.579111
2.998598,73,7.589335
50.736036,358,7.64021
85.966601,728,7.742424
59.746166,463,8.178431
27.030215,181,8.204379
23.175981,316,8.24951
1.20172,36,8.254487
14.668257,112,8.270094
7.832716,68,8.279619
-0.562185,9,8.280894
66.916895,580,8.362308
12.460864,89,8.375097
11.442296,112,8.39111
0.36143,18,8.393524
101.831202,708,8.865147
16.455771,122,8.888755
47.538435,398,8.947491
16.793583,141,8.96757
105.788159,609,9.055483
-0.810402,42,9.061582
75.303149,457,9.520601
2.67737,34,9.525787
43.021999,402,9.58429
21.719398,195,9.613512
10.163499,84,9.625957
26.571459,277,9.667137
-0.051524,72,9.677521
23.187324,163,9.701785
79.791799,478,9.772607
64.905495,447,10.219873
10.424223,91,10.233022
35.004547,216,10.264423
0.898748,36,10.269383
19.848136,167,10.29308
0.645743,33,10.297633
85.701961,464,10.363232
103.839937,585,10.446641
100.130137,741,10.937657
86.172993,415,10.996831
30.662854,159,11.019368
6.766027,50,11.026311
69.301336,284,11.066902
54.348609,275,11.106574
20.201892,143,11.127092
7.419113,49,11.134015
39.193222,259,11.171244
28.070095,155,11.563609
60.067185,335,11.611504
166.464862,845,11.732143
14.494061,104,11.747038
308.779448,1471,12.381762
13.203495,164,12.405328
8.489833,57,12.413202
121.20147,665,12.507946
78.644739,428,12.946698
103.673716,540,13.023427
81.426263,451,13.08925
40.529345,182,13.116641
2.040208,17,13.119047
21.548016,118,13.136405
37.936511,210,13.168903
18.806293,77,13.180246
2.011992,45,13.186925
83.46907,411,13.67828
4.724402,33,13.68295
185.006017,840,13.807446
7.007736,74,13.818421
163.573215,657,13.918629
91.406685,480,14.446848
224.452446,1192,14.61795
95.804422,416,14.679001
4.307109,24,14.682466
49.594405,281,15.087462
53.134167,230,15.120138
27.000372,131,15.138894
34.940946,155,15.160513
323.853526,1381,15.356469
110.605601,550,15.873112
40.806005,135,15.893359
147.453773,682,15.992798
9.381595,101,16.007175
182.34235,755,16.539491
61.301822,230,16.572975
22.945043,114,16.589478
343.472514,1229,16.77845
287.273972,1104,17.357907
105.552832,443,17.421666
100.76353,392,17.477734
290.130618,985,17.985346
336.547306,1267,18.167427
61.78032,175,18.192292
25.669376,145,18.213196
317.950868,1168,18.744883
39.406189,143,18.765717
145.785981,495,18.836635
20.68109,78,18.847685
211.022956,681,19.304432
4.060875,33,19.309026
31.930632,113,19.325518
274.363618,965,19.460555
96.804808,331,19.506612
361.007468,1278,20.05014
162.137901,574,20.131253
78.265206,253,20.167103
81.432267,265,20.597301
74.535145,233,20.630031
205.540689,732,20.735001
462.664786,1566,21.366008
204.577219,694,21.482445
108.733946,364,21.54216
251.959777,835,22.04794
381.287959,1159,22.21716
93.117618,320,22.264989
394.924743,1060,22.794445
48.583695,166,22.818133
84.673904,318,22.865239
46.55835,128,22.883396
93.594587,309,22.929968
824.692043,2444,24.016245
167.742102,485,24.088116
45.526197,148,24.110522
79.855505,253,24.150649
298.772706,868,24.699633
119.413294,297,24.745775
5.559985,30,24.749882
193.960618,539,24.82663
174.745335,510,24.901057
129.903588,356,24.954343
58.827012,195,24.982669
330.622292,908,25.506878
24.192316,70,25.517709
60.768369,162,25.541679
69.541889,182,25.567771
63.736217,202,25.59674
274.472431,761,26.069445
151.950835,389,26.125482
47.490548,133,26.144129
9.223271,48,26.150846
106.189254,287,26.191395
214.223699,613,26.277912
56.815401,164,26.300825
185.324714,500,26.723109
100.205997,275,26.762761
156.852782,459,26.828383
345.768665,927,26.962283
66.115115,194,27.345674
44.262046,144,27.365825
235.328122,722,27.465425
356.332303,1027,27.607674
657.816744,1816,28.211309
118.950116,306,28.254711
325.531025,868,28.757354
678.341842,1759,29.401009
20.794151,74,29.411253
627.28618,1636,30.029474
19.804075,36,30.034404
151.475285,338,30.082256
97.429495,233,30.11451
22.923887,91,30.127006
26.812341,86,30.138815
162.343695,394,30.1933
612.449479,1582,30.776339
280.952631,746,30.88163
131.187433,318,30.927136
91.170013,225,31.372955
13.499658,38,31.378267
446.810141,1064,31.527462
266.565424,651,31.617562
102.104091,281,32.009299
189.298811,492,32.078527
48.184128,116,32.094823
257.214387,614,32.181194
16.451131,75,32.191641
145.727815,359,32.242203
82.988293,209,32.271424
110.370024,260,32.662797
203.817853,463,32.728354
53.675729,129,32.746463
367.065718,899,32.872883
460.214553,1168,33.395002
52.725367,123,33.41202
407.979996,916,33.538596
61.606258,145,33.558608
1710.339732,4013,34.866755
276.749404,663,35.377542
220.492292,479,35.446258
106.972887,242,35.481368
183.447931,407,35.540868
250.907436,580,36.000725
159.06248,355,36.051365
482.013056,1110,36.209575
282.646426,630,36.723449
656.706631,1486,36.935574
87.89416,232,36.968422
93.47305,192,37.40636
281.805735,618,37.49522
113.612107,249,37.530455
431.718578,916,37.664585
414.333559,922,38.173642
399.184294,843,38.293322
169.638084,384,38.348243
455.624389,879,38.868775
152.517105,363,38.920651
197.992497,453,38.984248
540.835145,1112,39.542293
1450.158622,3021,40.320369
328.314092,613,40.773167
55.942872,158,40.796003
113.33066,257,40.833019
102.089384,187,40.859899
180.886811,333,40.907478
1212.947823,2394,41.633159
316.695516,658,42.097335
438.571826,945,42.233377
267.592349,518,42.309869
14.668551,34,42.314735
1855.635261,3721,43.554781
165.508255,357,43.605669
338.425664,671,44.053965
236.315894,453,44.116946
778.847849,1488,44.683468
2719.096792,5020,46.15568
480.522784,845,46.282143
563.158613,1042,46.822212
115.820935,208,46.851223
373.758891,648,46.942449
2403.306648,4245,48.298379
302.905883,553,48.780861
117.564969,210,48.813885
40.358373,74,48.825178
651.474017,1177,49.00081
364.03959,629,49.460035
729.665566,1290,49.642766
245.992103,429,50.058416
651.732635,1113,50.215822
1850.124253,3131,51.354968
1589.556051,2614,52.072079
116.417889,192,52.099347
468.293986,799,52.21234
83.722446,127,52.230218
163.579557,250,52.612788
247.82906,445,52.675534
273.525381,436,52.736888
1424.028514,2294,53.409971
1267.796914,2142,54.05648
757.250232,1271,54.590848
34.071309,56,54.598582
529.819425,815,54.711719
364.452038,620,55.15106
914.596351,1405,55.350117
1627.681944,2593,56.070796
532.388158,813,56.536673
744.553606,1162,56.697098
834.351028,1295,57.225646
332.739919,524,57.298974
382.50914,589,57.785806
946.36611,1483,57.993261
76.420124,122,58.010581
1054.637301,1569,58.596799
535.990009,876,59.071788
323.973023,537,59.148656
564.744144,871,59.273063
314.659295,486,59.717929
16.653706,42,59.723746
154.194063,250,59.759919
856.747992,1224,59.93405
651.319406,966,60.432174
1087.407777,1679,61.064788
1406.936518,2138,61.735118
95.976358,180,61.760243
170.821827,233,61.792597
644.115735,957,61.925011
19.870007,38,61.930119
622.654994,931,62.419757
93.762772,143,62.439858
723.887093,1074,62.590806
